岩名,GPS経度,GPS緯度,URL,エリア名,コメント,ルート数,初登権,場所,岩画像,池亀ボルダールート,発見した日時,発見者,経度,緯度
やすり岩,140;10;8.3099,36;23;36.9635,"https://www.google.co.jp/maps?q=36.393601,140.168975",森エリア（仮）,,2,発見者,,20251231_121152833-min.jpg,"やすり雲 (https://www.notion.so/2e28446c8103809bb376ef5af4285ba6?pvs=21), ザリザリ (https://www.notion.so/2e28446c8103807e8fc2dd94308e9de1?pvs=21)","November 1, 2025 9:35 (GMT+9)",森　清隆,140.168975,36.393601
026（仮）,140;10;12.0323,36;23;41.5715,"https://www.google.co.jp/maps?q=36.394881,140.170009",東エリア（仮）,,0,発見者,,026_20251101_094942-min.jpg,,"November 1, 2025 9:49 (GMT+9)",森　清隆,140.170009,36.394881
011（仮）,140;10;11.2151,36;23;38.0255,"https://www.google.co.jp/maps?q=36.393896,140.169782",東尾根（仮）,,0,発見者,,011_20251030_130446606-min.jpg,,"October 30, 2025 13:04 (GMT+9)",森　清隆,140.169782,36.393896
044（仮）,140;10;2.4132,36;23;45.4776,"https://www.google.co.jp/maps?q=36.395966,140.167337",西エリア（仮）,,0,発見者,,044_20251030_134414876-min.jpg,,"October 30, 2025 13:44 (GMT+9)",森　清隆,140.167337,36.395966
025（仮）,140;10;12.0864,36;23;41.5830,"https://www.google.co.jp/maps?q=36.394884,140.170024",東エリア（仮）,,0,発見者,,025_20251101_095012-min.jpg,,"November 1, 2025 9:50 (GMT+9)",森　清隆,140.170024,36.394884
019（仮）,140;10;5.4408,36;23;40.7580,"https://www.google.co.jp/maps?q=36.394655,140.168178",崩落地周辺（仮）,,0,発見者,,019_20251030_140030875-min.jpg,,"October 30, 2025 14:00 (GMT+9)",森　清隆,140.168178,36.394655
040（仮）,140;10;7.2696,36;23;45.2578,"https://www.google.co.jp/maps?q=36.395905,140.168686",谷広場（仮）,,0,発見者,,040_20251030_132950405-min.jpg,,"October 30, 2025 13:29 (GMT+9)",森　清隆,140.168686,36.395905
030（仮）,140;10;11.3700,36;23;42.2124,"https://www.google.co.jp/maps?q=36.395059,140.169825",東エリア（仮）,,0,発見者,,030_20251030_131706136-min.jpg,,"October 30, 2025 13:17 (GMT+9)",森　清隆,140.169825,36.395059
柚子岩,140;10;8.1803,36;23;36.9168,"https://www.google.co.jp/maps?q=36.393588,140.168939",森エリア（仮）,冬至の日に初めて登ったから,3,フリー,,20251217_122132-min.jpg,"一陽来復 (https://www.notion.so/2d18446c810380929b6df45800df3588?pvs=21), 橙（だいだい） (https://www.notion.so/2df8446c81038023a3cdc13711fdcbb4?pvs=21), 福来みかん (https://www.notion.so/2e28446c8103803ca7e2ffb39a86bf23?pvs=21)","November 1, 2025 9:33 (GMT+9)",森　清隆,140.168939,36.393588
034（仮）,140;10;14.1528,36;23;43.6775,"https://www.google.co.jp/maps?q=36.395466,140.170598",東エリア（仮）,,0,発見者,,034_20251101_100116-min.jpg,,"November 1, 2025 10:01 (GMT+9)",森　清隆,140.170598,36.395466
033（仮）,140;10;8.8428,36;23;43.2131,"https://www.google.co.jp/maps?q=36.395337,140.169123",谷広場（仮）,,0,発見者,,20251217_144621-min.jpg,,"October 30, 2025 13:22 (GMT+9)",森　清隆,140.169123,36.395337
010（仮）,140;10;11.6687,36;23;37.7087,"https://www.google.co.jp/maps?q=36.393808,140.169908",東尾根（仮）,,0,発見者,,010_20251030_130010239-min.jpg,,"October 30, 2025 13:00 (GMT+9)",森　清隆,140.169908,36.393808
038（仮）,140;10;7.5504,36;23;45.2615,"https://www.google.co.jp/maps?q=36.395906,140.168764",谷広場（仮）,,0,発見者,,038_20251030_132825644-min.jpg,,"October 30, 2025 13:28 (GMT+9)",森　清隆,140.168764,36.395906
039（仮）,140;10;7.5504,36;23;45.2615,"https://www.google.co.jp/maps?q=36.395906,140.168764",谷広場（仮）,,0,発見者,,039_20251030_132837155-min.jpg,,"October 30, 2025 13:28 (GMT+9)",森　清隆,140.168764,36.395906
027（仮）,140;10;12.0719,36;23;41.5752,"https://www.google.co.jp/maps?q=36.394882,140.17002",東エリア（仮）,,0,発見者,,027_20251101_094959-min.jpg,,"November 1, 2025 9:50 (GMT+9)",森　清隆,140.17002,36.394882
彷徨い岩,140;10;8.0615,36;23;39.6887,"https://www.google.co.jp/maps?q=36.394358,140.168906",崩落地周辺（仮）,S氏が1時間もどっか行っちゃった,0,発見者,,016_20251030_131218362-min.jpg,,"October 30, 2025 13:12 (GMT+9)",森　清隆,140.168906,36.394358
004（仮）,140;10;7.6044,36;23;36.0170,"https://www.google.co.jp/maps?q=36.393338,140.168779",森エリア（仮）,,0,発見者,,004_20251101_093232-min.jpg,,"November 1, 2025 9:32 (GMT+9)",森　清隆,140.168779,36.393338
028（仮）,140;10;12.0251,36;23;41.8235,"https://www.google.co.jp/maps?q=36.394951,140.170007",東エリア（仮）,,0,発見者,,028_20251101_095041-min.jpg,,"November 1, 2025 9:50 (GMT+9)",森　清隆,140.170007,36.394951
014（仮）,140;10;10.1532,36;23;38.3819,"https://www.google.co.jp/maps?q=36.393995,140.169487",東尾根（仮）,,0,発見者,,014_20251101_094032-min.jpg,,"November 1, 2025 9:40 (GMT+9)",森　清隆,140.169487,36.393995
031（仮）,140;10;10.7976,36;23;42.4751,"https://www.google.co.jp/maps?q=36.395132,140.169666",東エリア（仮）,,0,発見者,,031_20251030_131823619-min.jpg,,"October 30, 2025 13:18 (GMT+9)",森　清隆,140.169666,36.395132
045（仮）,140;10;2.2908,36;23;45.8267,"https://www.google.co.jp/maps?q=36.396063,140.167303",西エリア（仮）,,0,発見者,,045_20251101_114450-min.jpg,,"November 1, 2025 11:44 (GMT+9)",森　清隆,140.167303,36.396063
054（仮）,140;10;5.2140,36;23;50.5752,"https://www.google.co.jp/maps?q=36.397382,140.168115",北西エリア（仮）,,0,発見者,,054_20251101_105806-min.jpg,,"November 1, 2025 10:58 (GMT+9)",森　清隆,140.168115,36.397382
046（仮）,140;10;2.0820,36;23;46.1364,"https://www.google.co.jp/maps?q=36.396149,140.167245",西エリア（仮）,,0,発見者,,046_20251101_114200-min.jpg,,"November 1, 2025 11:42 (GMT+9)",森　清隆,140.167245,36.396149
013（仮）,140;10;04.800,36;23;38.3928,"https://www.google.co.jp/maps?q=36.393998,140.168",東尾根（仮）,,0,発見者,,013_20251030_130756096-min.jpg,,"October 30, 2025 13:07 (GMT+9)",森　清隆,140.168,36.393998
041（仮）,140;10;3.1187,36;23;43.9331,"https://www.google.co.jp/maps?q=36.395537,140.167533",西エリア（仮）,,0,発見者,,041_20251101_115358-min.jpg,,"November 1, 2025 11:54 (GMT+9)",森　清隆,140.167533,36.395537
021（仮）,140;10;6.7223,36;23;41.6184,"https://www.google.co.jp/maps?q=36.394894,140.168534",崩落地周辺（仮）,,0,発見者,,021_20251101_123121-min.jpg,,"November 1, 2025 12:31 (GMT+9)",森　清隆,140.168534,36.394894
048周辺（仮）,140;8;39.0408,36;21;39.3912,"https://www.google.co.jp/maps?q=36.360942,140.144178",谷広場上（仮）,,0,発見者,,20251030_133831155-min.jpg,,"October 30, 2025 13:38 (GMT+9)",森　清隆,140.144178,36.360942
