岩名,GPS経度,GPS緯度,URL,エリア名,コメント,ルート数,初登権,場所,岩画像,池亀ボルダールート,発見した日時,発見者,経度,緯度
053（仮）,140;10;4.1916,36;23;49.8803,"https://www.google.co.jp/maps?q=36.397189,140.167831",北西エリア（仮）,,0,発見者,,053_20251101_110010-min.jpg,,"November 1, 2025 11:00 (GMT+9)",森　清隆,140.167831,36.397189
イノシシ岩,140;10;5.4299,36;23;37.9572,"https://www.google.co.jp/maps?q=36.393877,140.168175",森エリア（仮）,開拓中にイノシシに遭遇,1,発見者,,20251217_130443-min.jpg,牡丹 (https://www.notion.so/2d18446c810380e78431d5aa7c1ba9ab?pvs=21),"October 30, 2025 12:43 (GMT+9)",森　清隆,140.168175,36.393877
甲羅岩,140;10;7.1615,36;23;37.6332,"https://www.google.co.jp/maps?q=36.393787,140.168656",森エリア（仮）,池亀ボルダーで最初に登った岩,3,発見者,,20251119_161119445-min.jpg,"亀の甲 (https://www.notion.so/2b18446c81038029a678ee755f59c317?pvs=21), 年の功 (https://www.notion.so/2b18446c810380a7bf58c5a6b94aefa9?pvs=21), ノコノコ (https://www.notion.so/2b18446c810380b38fe0de805d0ba3af?pvs=21)","November 19, 2025 14:01 (GMT+9)",森　清隆,140.168656,36.393787
頭岩,140;10;7.4099,36;23;37.7807,"https://www.google.co.jp/maps?q=36.393828,140.168725",森エリア（仮）,甲羅岩と合わせて亀っぽい,1,フリー,,20251119_155209677-min.jpg,タートルヘッド (https://www.notion.so/2b18446c810380f39708e6bd482b1bd2?pvs=21),"November 19, 2025 14:01 (GMT+9)",森　清隆,140.168725,36.393828
せせらぎ下岩,140;10;6.2112,36;23;36.9023,"https://www.google.co.jp/maps?q=36.393584,140.168392",森エリア（仮）,せせらぎ岩の下側,1,フリー,,20251126_133001045-min.jpg,朱雀 (https://www.notion.so/2b78446c810380a79ea3eabfdc798582?pvs=21),"October 30, 2025 14:08 (GMT+9)",森　清隆,140.168392,36.393584
058（仮）,140;10;2.8956,36;23;42.8928,"https://www.google.co.jp/maps?q=36.395248,140.167471",西エリア（仮）,,0,発見者,,20251215_160257784-min.jpg,,"December 15, 2025 16:02 (GMT+9)",森　清隆,140.167471,36.395248
033周辺2（仮）,140;10;8.3280,36;23;43.4867,"https://www.google.co.jp/maps?q=36.395413,140.16898",谷広場（仮）,,0,発見者,,20251217_144532-min.jpg,,"October 30, 2025 13:24 (GMT+9)",森　清隆,140.16898,36.395413
059（仮）,140;10;7.1076,36;23;42.1871,"https://www.google.co.jp/maps?q=36.395052,140.168641",崩落地周辺（仮）,,0,発見者,,20251217_141344-min.jpg,,"December 17, 2025 14:13 (GMT+9)",森　清隆,140.168641,36.395052
妥当岩,140;10;8.3280,36;23;43.4867,"https://www.google.co.jp/maps?q=36.395413,140.16898",谷広場（仮）,立ちスタートが妥協なら妥当かな,1,発見者,,20251217_145242-min.jpg,妥協 (https://www.notion.so/2ef8446c810380d5a21ac7e262642aee?pvs=21),"October 30, 2025 13:24 (GMT+9)",森　清隆,140.16898,36.395413
060（仮）,140;10;6.4810,36;23;47.6980,"https://www.google.co.jp/maps?q=36.396583,140.168467",谷広場上（仮）,,0,発見者,,20251226_151952-min.jpg,,"December 26, 2025 15:19 (GMT+9)",森　清隆,140.168467,36.396583
061（仮）,140;10;6.1320,36;23;49.2680,"https://www.google.co.jp/maps?q=36.397019,140.16837",北西エリア（仮）,,0,発見者,,20251226_152452-min.jpg,,"December 26, 2025 15:24 (GMT+9)",森　清隆,140.16837,36.397019
062（仮）,140;10;6.1320,36;23;49.2680,"https://www.google.co.jp/maps?q=36.397019,140.16837",谷広場上（仮）,,0,発見者,,20251226_152511-min.jpg,,"December 26, 2025 15:25 (GMT+9)",森　清隆,140.16837,36.397019
063（仮）,140;10;8.5470,36;23;48.3210,"https://www.google.co.jp/maps?q=36.396756,140.169041",谷広場上（仮）,,0,発見者,,20251226_153623-min.jpg,,"December 26, 2025 15:36 (GMT+9)",森　清隆,140.169041,36.396756
064（仮）,140;10;8.2550,36;23;47.8240,"https://www.google.co.jp/maps?q=36.396618,140.16896",谷広場上（仮）,,0,発見者,,20251226_153758-min.jpg,,"December 26, 2025 15:37 (GMT+9)",森　清隆,140.16896,36.396618
065（仮）,140;10;9.3390,36;23;45.8010,"https://www.google.co.jp/maps?q=36.396056,140.169261",谷広場（仮）,,0,発見者,,20251226_154110-min.jpg,,"December 26, 2025 15:41 (GMT+9)",森　清隆,140.169261,36.396056
066（仮）,140;10;9.5300,36;23;45.4590,"https://www.google.co.jp/maps?q=36.395961,140.169314",谷広場（仮）,,0,発見者,,20251226_154234-min.jpg,,"December 26, 2025 15:42 (GMT+9)",森　清隆,140.169314,36.395961
